freq_hz,psd_dBm
96100000.0,-68.7028481352636
96100585.9375,-68.7249537369136
96101171.875,-68.68506090147044
96101757.8125,-68.64575567890778
96102343.75,-68.66362425029712
96102929.6875,-68.66792136265443
96103515.625,-68.68303409226819
96104101.5625,-68.68759261863558
96104687.5,-68.66342821019329
96105273.4375,-68.6558877389372
96105859.375,-68.63210335715323
96106445.3125,-68.62562616428886
96107031.25,-68.61059195988477
96107617.1875,-68.60261217316334
96108203.125,-68.59732011107403
96108789.0625,-68.58060327898711
96109375.0,-68.58246331562275
96109960.9375,-68.56877835692104
96110546.875,-68.56710836678593
96111132.8125,-68.62111533989373
96111718.75,-68.60034165379234
96112304.6875,-68.61387463086713
96112890.625,-68.6091730021037
96113476.5625,-68.5963030696902
96114062.5,-68.56071455688823
96114648.4375,-68.55193179338907
96115234.375,-68.54688989482268
96115820.3125,-68.54963247789303
96116406.25,-68.57147282324362
96116992.1875,-68.62156468902162
96117578.125,-68.60123860578834
96118164.0625,-68.62892267155317
96118750.0,-68.61310532581598
96119335.9375,-68.60658155051205
96119921.875,-68.6216207302538
96120507.8125,-68.6034586042062
96121093.75,-68.61872748091872
96121679.6875,-68.65639299253002
96122265.625,-68.65610245865273
96122851.5625,-68.64094676416343
96123437.5,-68.67126100749965
96124023.4375,-68.67366475854372
96124609.375,-68.66121747818727
96125195.3125,-68.62470317556034
96125781.25,-68.61856306401123
96126367.1875,-68.61404111561502
96126953.125,-68.57467707909898
96127539.0625,-68.5526928908226
96128125.0,-68.56991957425599
96128710.9375,-68.56610261601682
96129296.875,-68.57879861133198
96129882.8125,-68.49408889915851
96130468.75,-68.45327241050579
96131054.6875,-68.51070378651156
96131640.625,-68.5369697577653
96132226.5625,-68.505426843722
96132812.5,-68.51233256274585
96133398.4375,-68.4817023650042
96133984.375,-68.47035778191717
96134570.3125,-68.48271705461327
96135156.25,-68.50854625482322
96135742.1875,-68.53493825200918
96136328.125,-68.53066469518538
96136914.0625,-68.53308280140953
96137500.0,-68.54050331349308
96138085.9375,-68.56390445519772
96138671.875,-68.57759782541237
96139257.8125,-68.56818185861864
96139843.75,-68.5751095584755
96140429.6875,-68.56603793468332
96141015.625,-68.52859587917688
96141601.5625,-68.56833715266461
96142187.5,-68.55655832215447
96142773.4375,-68.59254940119813
96143359.375,-68.58767002839684
96143945.3125,-68.59126155983012
96144531.25,-68.59854534075293
