freq_hz,psd_dBm
96100000.000000,-3.682659755035e+01
96100585.937500,-3.678503431621e+01
96101171.875000,-3.746457331845e+01
96101757.812500,-3.788292607451e+01
96102343.750000,-3.785664188514e+01
96102929.687500,-3.772328930825e+01
96103515.625000,-3.705022303826e+01
96104101.562500,-3.597043633937e+01
96104687.500000,-3.705208710430e+01
96105273.437500,-3.682096862780e+01
96105859.375000,-3.774788397407e+01
96106445.312500,-3.789020015996e+01
96107031.250000,-3.818637135837e+01
96107617.187500,-3.780980110955e+01
96108203.125000,-3.804436384801e+01
96108789.062500,-3.789407409453e+01
96109375.000000,-3.775790323921e+01
96109960.937500,-3.817487131999e+01
96110546.875000,-3.804959619771e+01
96111132.812500,-3.773067868736e+01
96111718.750000,-3.646539528165e+01
96112304.687500,-3.620555984034e+01
96112890.625000,-3.793895411713e+01
96113476.562500,-3.824205366426e+01
96114062.500000,-3.821937969827e+01
96114648.437500,-3.819499521250e+01
96115234.375000,-3.800160377467e+01
96115820.312500,-3.792794076212e+01
96116406.250000,-3.800071983358e+01
96116992.187500,-3.798781086911e+01
96117578.125000,-3.769432173176e+01
96118164.062500,-3.784184049712e+01
96118750.000000,-3.802186575999e+01
96119335.937500,-3.793108108920e+01
96119921.875000,-3.605407830286e+01
96120507.812500,-3.704409798404e+01
96121093.750000,-3.810488568970e+01
96121679.687500,-3.789556143076e+01
96122265.625000,-3.784690173469e+01
96122851.562500,-3.773498478544e+01
96123437.500000,-3.765043623041e+01
96124023.437500,-3.789660626704e+01
96124609.375000,-3.788917752376e+01
96125195.312500,-3.777781401389e+01
96125781.250000,-3.799938090022e+01
96126367.187500,-3.764681769175e+01
96126953.125000,-3.781164035649e+01
96127539.062500,-3.718951848702e+01
96128125.000000,-3.591896770168e+01
96128710.937500,-3.749855388180e+01
96129296.875000,-3.765824762700e+01
96129882.812500,-3.776209386818e+01
96130468.750000,-3.590180348134e+01
96131054.687500,-3.558588734488e+01
96131640.625000,-3.772388397075e+01
96132226.562500,-3.805748888801e+01
96132812.500000,-3.806328938554e+01
96133398.437500,-3.789031804806e+01
96133984.375000,-3.742863312516e+01
96134570.312500,-3.642006085597e+01
96135156.250000,-3.772282736949e+01
96135742.187500,-3.644359657193e+01
96136328.125000,-3.667709904567e+01
96136914.062500,-3.833684247124e+01
96137500.000000,-3.849964006571e+01
96138085.937500,-3.848870560879e+01
96138671.875000,-3.841383414974e+01
96139257.812500,-3.829811586524e+01
96139843.750000,-3.838370954646e+01
96140429.687500,-3.825233732422e+01
96141015.625000,-3.844945580237e+01
96141601.562500,-3.869178371938e+01
96142187.500000,-3.829158081141e+01
96142773.437500,-3.812389236459e+01
96143359.375000,-3.788730096461e+01
96143945.312500,-3.600938487523e+01
96144531.250000,-3.775112261130e+01
96145117.187500,-3.821465961247e+01
96145703.125000,-3.830550212028e+01
96146289.062500,-3.837721440835e+01
96146875.000000,-3.843851874522e+01
96147460.937500,-3.849345097907e+01
96148046.875000,-3.862320609912e+01
96148632.812500,-3.837053348145e+01
96149218.750000,-3.821058017151e+01
96149804.687500,-3.793054749137e+01
96150390.625000,-3.804130445171e+01
96150976.562500,-3.828567802645e+01
96151562.500000,-3.761047643847e+01
96152148.437500,-3.605355724027e+01
96152734.375000,-3.770558869252e+01
96153320.312500,-3.831682074453e+01
96153906.250000,-3.830004099405e+01
96154492.187500,-3.816768920217e+01
96155078.125000,-3.827138766643e+01
96155664.062500,-3.804068826903e+01
96156250.000000,-3.811558544480e+01
96156835.937500,-3.824032866206e+01
96157421.875000,-3.793040825990e+01
96158007.812500,-3.800215800518e+01
96158593.750000,-3.809465677867e+01
96159179.687500,-3.812321178246e+01
96159765.625000,-3.679749802047e+01
96160351.562500,-3.682445548526e+01
96160937.500000,-3.853462901589e+01
96161523.437500,-3.860709469057e+01
96162109.375000,-3.814388093023e+01
96162695.312500,-3.823064259250e+01
96163281.250000,-3.823049042830e+01
96163867.187500,-3.789111650934e+01
96164453.125000,-3.810405289331e+01
96165039.062500,-3.812010103435e+01
96165625.000000,-3.807070677477e+01
96166210.937500,-3.813702970096e+01
96166796.875000,-3.842829902159e+01
96167382.812500,-3.806350520614e+01
96167968.750000,-3.597881642756e+01
96168554.687500,-3.780233504210e+01
96169140.625000,-3.809344779908e+01
96169726.562500,-3.854228191730e+01
96170312.500000,-3.824590141978e+01
96170898.437500,-3.840305970771e+01
96171484.375000,-3.864689158511e+01
96172070.312500,-3.856366697475e+01
96172656.250000,-3.841699912463e+01
96173242.187500,-3.827455975331e+01
96173828.125000,-3.841876795691e+01
96174414.062500,-3.802086805339e+01
96175000.000000,-3.827385110017e+01
96175585.937500,-3.714805118661e+01
96176171.875000,-3.582868040147e+01
